package Sundance::rurban::2024; # -*- perl -*-
#!/usr/bin/perl
# Sundance 2024 Critics Ratings, 18.1.2024 - 28.1.
# {'A+' => 10,  'A' => 9,   'A-' => 8,
#  'B+' => 7,   'B' => 6,   'B-' => 5,
#  'C+' => 4,   'C' => 3,   'C-' => 2,
#  'D+' => 1.5, 'D' => 1,   'D-' => 1,
#  'E+' => 0.5, 'E' => 0.5, 'E-' => 0.5,
#  'F+' => 0,   'F' => 0,   'F-' => 0};
# SLCWeekly: 0-4stars:
# 0.5 - 1.25, 1 - 2.5, 1.5 - 3.75, 2 -> 5, 2.5 - 6.25, 3 - 7.5, 3.5 - 8.75, 4 - 10

use utf8;
our $DATA= <<'EOF';

U.S. DRAMATIC COMPETITION

"Between the Temples" (Nathan Silver) [U.S. Dramatic]
 — A cantor in a crisis of faith finds his world turned upside down when his grade school music teacher reenters his life as his new adult bat mitzvah student. Cast: Jason Schwartzman, Carol Kane, Dolly de Leon, Caroline Aaron, Robert Smigel, Madeline Weinstein. World Premiere. Available online for Public.

Trase Henricks      6
ninfriendos         6
Kent M. Wilhelm     6
Sydney🚀             6
Caitlin Dubs        6
cmooons             6
cmkyer              6
jihyejessicaa       6
jesse               6   https://letterboxd.com/heyjesseo0h/film/love-me-2024/
Desiree Rose        6
Sarah Martinez      6
Zach Shevich        6   https://letterboxd.com/zshevich/film/love-me-2024/
Jpugh               6   https://letterboxd.com/jpugh/film/love-me-2024/
Jake Kring-Schreifels 6   https://letterboxd.com/jakeks/film/love-me-2024/
Marco Zamorano      6   https://letterboxd.com/marcozamo123/film/love-me-2024/
Mosquino            6
Brian Tallerico     6
bglevine            6
Dominick            6
Christopher_Lee     6
pampajam            6
CinemaJoe           6
doug22179           6   https://letterboxd.com/doug22179/film/love-me-2024/
lb_ndvj             6
toughlovelace       6
Aaron White         6
itscourtney         6
Cody Dericks        5   https://letterboxd.com/codymonster91/film/love-me-2024/
Carly               5
camden              5
Kyleen              5
Brother Bro         5   https://letterboxd.com/brotherbro/film/love-me-2024/
Arbiteriscool       5
desha47             5
